GCC.fit_predict.clusterID	Others	RiPPs	NRPS	PKS	Terpene
gcc_0	0.0	1.2183908045977012	0.0	0.005747126436781609	0.0
gcc_1	0.3214285714285714	0.0	0.10714285714285714	1.392857142857143	0.0
gcc_10	0.0035587188612099642	1.0	0.028469750889679714	0.021352313167259787	0.0
gcc_11	1.0	0.0	0.006493506493506494	0.01948051948051948	0.0
gcc_12	0.010869565217391304	1.1684782608695652	0.005434782608695652	0.002717391304347826	0.0
gcc_13	0.0	0.0	0.04878048780487805	1.048780487804878	0.0
gcc_14	0.05109100585417775	0.006386375731772219	1.0239489089941458	0.09632783395423096	0.0
gcc_15	1.0	0.005813953488372093	0.005813953488372093	0.0	0.0
gcc_16	1.0	0.0	0.06666666666666668	0.03333333333333333	0.0
gcc_17	0.12068965517241378	1.0	0.0	0.0	0.0049261083743842365
gcc_18	1.010752688172043	0.010752688172043013	0.005376344086021507	0.005376344086021507	0.0
gcc_19	0.0	0.0	0.13333333333333333	1.0	0.0
gcc_2	1.070063694267516	0.006369426751592357	0.044585987261146494	0.0	0.0
gcc_20	1.0	0.0	0.0	0.0	0.0
gcc_21	1.0	0.0	0.0	0.0	0.0
gcc_22	1.1695906432748537	0.0	0.0	0.005847953216374269	0.011695906432748536
gcc_23	1.0	0.0	0.0	0.0	0.0
gcc_24	1.0	0.0	0.04166666666666666	0.0	0.0
gcc_25	0.0	0.0	0.0	1.0	0.0
gcc_26	1.0102611940298507	0.00373134328358209	0.0009328358208955225	0.0	0.0
gcc_27	0.0	1.0	0.0	0.0	0.0
gcc_28	0.0	1.0357142857142858	0.0	0.0	0.0
gcc_29	0.003185367858610769	0.003699136868064119	0.0039046444718454586	0.002466091245376079	1.0
gcc_3	0.0023730422401518746	1.0097294731846225	0.006169909824394874	0.005695301376364498	0.0
gcc_30	1.0	0.11111111111111113	0.0	0.0	0.0
gcc_31	0.0	1.0	0.0	0.0	0.0
gcc_32	1.0	0.06666666666666668	0.0	0.0	0.0
gcc_33	0.0	1.0	0.0	0.0	0.0
gcc_34	1.0	0.0	0.125	0.0	0.0
gcc_35	0.0	1.0	0.0	0.0	0.0
gcc_36	1.0	0.0	0.010830324909747292	0.0	0.0036101083032490976
gcc_37	1.1442708333333333	0.0	0.0	0.0	0.0
gcc_38	1.0044247787610618	0.004022526146419952	0.007240547063555912	0.004827031375703942	0.0032180209171359607
gcc_39	1.0	0.0	0.0	0.0	0.0
gcc_4	0.025008336112037344	0.0010003334444814939	0.8549516505501833	0.3337779259753251	0.0
gcc_40	0.0	1.25	0.0	0.0	0.0
gcc_5	0.034863451481696686	0.0017431725740848342	0.0034863451481696693	1.0029052876234748	0.0
gcc_6	1.004566210045662	0.0015220700152207	0.0045662100456621	0.0076103500761035	0.0030441400304414
gcc_7	1.0153846153846153	0.0	0.0	0.04615384615384615	0.0
gcc_8	1.2298050139275767	0.004178272980501394	0.0027855153203342623	0.4206128133704735	0.009749303621169915
gcc_9	1.0341261633919339	0.0	0.02171664943123061	0.002068252326783868	0.002068252326783868
